香港,#genre#
纬来日本,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=106#http://liuy.usa7.20212021.ga/ns.php?id=10
纬来体育,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=105
纬来电影,http://liuy.usa7.20212021.ga/ns.php?id=9
纬来综合,http://liuy.usa7.20212021.ga/ns.php?id=12
纬来育乐,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=107
纬来戏剧,http://211.23.114.106:11300/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
三立新闻,http://59.125.101.187:8756/http/192.168.77.24:8081/hls/69/811/ch33.m3u8?
三立台湾,http://61.221.81.93:8088/hls/65/807/ch20.m3u8#http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333290/index.m3u8
三立都会,http://61.221.81.93:8088/hls/65/807/ch19.m3u8#http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333300/index.m3u8
三立综合,http://50.7.218.42:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8
星空卫视,http://120.84.96.25:808/hls/79/index.m3u8
卫视电影,http://61.221.81.93:8507/hls/1.m3u8#http://61.221.81.93:8507/hls/77/80/ch62.m3u8
卫视中文,http://61.221.81.93:8503/hls/77/80/ch62.m3u8
天映经典,http://120.84.96.25:808/hls/85/index.m3u8
寰宇新闻台,http://60.251.59.180:8547/xoxo.m3u8#http://61.221.81.93:8088/hls/76/818/ch62.m3u8
台视,rtmp://59.124.75.136/sat/tv071#http://50.7.61.148:30080/Entry/ttv
台视新闻台,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
中视,rtmp://59.124.75.136/sat/tv091#http://50.7.61.148:30080/Entry/ctv
中视新闻台,https://ytb.52sf.ga/live.m3u8?c=8
华视CTS HD,rtmp://59.124.75.136/sat/tv111#http://50.7.61.147:30080/Entry/cts
华视新闻资讯,http://220.134.196.147:11375/http/116.50.42.18:8081/hls/61/803/ch03.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
民视新闻台,http://59.125.101.187:8727/http/192.168.77.24:8081/hls/64/806/ch14.m3u8
民视第一,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv003
八大第一,http://61.221.81.93:8088/hls/66/808/ch22.m3u8
八大综合,http://59.125.101.187:8768/http/192.168.77.24:8081/hls/64/806/ch14.m3u8?
八大戏剧,http://59.125.101.187:8771/http/192.168.77.24:8081/hls/63/805/ch12.m3u8?
非凡新闻,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv010
非凡商业,http://220.134.196.147:11395/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
TLC旅游生活频道,http://50.7.61.147:30080/Entry/tlc
JET综合,http://50.7.61.147:30080/Entry/jet
动物星球,http://50.7.161.82:8278/streams/d/AnimalPlanet/playlist.m3u8
国家地理野生频道,http://50.7.161.82:8278/streams/d/Natgeowild/playlist.m3u8
壹新闻,http://50.7.61.147:30080/Entry/etv#http://stream.nexttv.com.tw/n001/hd/live.m3u8
AXN,http://50.7.61.148:30080/Entry/axn
亚美卫视,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
靖洋戲劇,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv045
靖天日本,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv048
靖天電影台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv061
靖天映畫,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv055
龙祥时代,http://120.84.96.25:808/hls/35/index.m3u8
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华偶像,http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://59.125.98.83:8536/playlist.m3u8
年代新聞HD,http://59.125.101.187:8729/http/192.168.77.24:8081/hls/63/805/ch12.m3u8
ELTA体育3台,http://50.7.218.42:8278/eltasports3_twn/playlist.m3u8?tid=m92b67618b700&ct=18335&tsum=bdc6fd47d695d59eed8dd2bf22218b7f
eleven1,http://ff1b0571.russtv.net/iptv/V88EYWK93ZQKMQ/6083/index.m3u8
eleven2,http://ff1b0571.russtv.net/iptv/V88EYWK93ZQKMQ/6082/index.m3u8
MoMo综合台,rtmp://59.124.75.136/sat/tv761
MoMo亲子,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333540/index.m3u8
CBS SPROTS,rtmp://59.124.75.136/sat/us231
DYFY,rtmp://59.124.75.136/sat/us241
ESPN,https://d1k4ybyeycgihx.cloudfront.net/hls/espn/playlist.m3u8
SC,rtmp://59.124.75.136/sat/us261#rtmp://59.124.75.136/sat/us271#rtmp://59.124.75.136/sat/us281
好消息,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8

汕头,#genre#
汕头综合,rtsp://125.88.55.18/PLTV/88888895/224/3221227425/10000100000000060000000003869066_0.smil?icpid=SSPID&GuardEncType=2&accountinfo=%7E%7EV2.0%7EMwuATk9uK0uaK85CWTmxXg%7EApBzL3r_voXq10M-GWtX1pp12YK6-zQpQOUIOl0wbjEq730dUqnc_SjPYjiOQWwdythRrEf7Hp9ToXshxUNGDpwMHPmgDEdR_mdoJOtFf3o~ExtInfoWNHSPSTb+3AG0FnUkYLPMw==%2CEND#http://dslive.grtn.cn/stzh/sd/live.m3u8
汕头经济生活,rtsp://125.88.55.18/PLTV/88888895/224/3221227428/10000100000000060000000003869069_0.smil?icpid=SSPID&GuardEncType=2&accountinfo=%7E%7EV2.0%7EiCDs7Xk0hYqPIyfEDgqdGQ%7EApBzL3r_voXq10M-GWtX1pp12YK6-zQpQOUIOl0wbjEq730dUqnc_SjPYjiOQWwdythRrEf7Hp9ToXshxUNGDpwMHPmgDEdR_mdoJOtFf3o~ExtInfoWNHSPSTb+3AG0FnUkYLPMw==%2CEND
汕头文旅体育,rtsp://125.88.55.18/PLTV/88888895/224/3221227415/10000100000000060000000003869079_0.smil?icpid=SSPID&GuardEncType=2&accountinfo=%7E%7EV2.0%7EmL-xXjU0Ds5jefeVzPQEbA%7EApBzL3r_voXq10M-GWtX1pp12YK6-zQpQOUIOl0wbjEq730dUqnc_SjPYjiOQWwdythRrEf7Hp9ToXshxUNGDpwMHPmgDEdR_mdoJOtFf3o~ExtInfoWNHSPSTb+3AG0FnUkYLPMw==%2CEND
CCTV-5,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://117.148.179.165/PLTV/88888888/224/3221231702/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225559/index.m3u8
广东体育,http://iptv.eatuo.com:9901/tsfile/live/1004_1.m3u8
五星体育,http://112.132.214.218/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
PP体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
咪咕体育,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8#http://39.134.66.82/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
咪咕体育2,http://39.134.66.82/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
